countryname,countrycode,co2emissionspercap1990,co2emissionspercap2000,co2emissionspercap2010,co2emissionspercap2020,gdppercapitacurrentus1990,gdppercapitacurrentus2000,gdppercapitacurrentus2010,gdppercapitacurrentus2020,co2emissionskt1990,co2emissionskt2000,co2emissionskt2010,co2emissionskt2020,terrestrialandmarineprotectedare,forestareaoflandarea1990,forestareaoflandarea2000,forestareaoflandarea2010,forestareaoflandarea2020
"Korea, Rep.",KOR,5.7774653,9.5140457,11.60783,10.990029,6609.9971,12257.021,23079.26,31721.299,247675.8,447237.31,575215.69,569681.81,5.8090749,67.914162,67.136635,65.709877,64.415985
Kuwait,KWT,17.390734,25.757494,27.42638,21.169611,11002.065,19493.889,39212.578,24297.711,29128.4,49838.199,80725.602,92308.898,10.716509,.1936027,.2721661,.35072953,.35072953
Lao PDR,LAO,.11889368,.16628511,.45499128,2.6202834,200.61914,318.77094,1127.8352,2593.355,512.96002,903.07001,2877.1001,19178.9,18.687561,77.309357,75.498268,73.399048,71.904243
Lebanon,LBN,1.5644321,3.627424,4.1763682,3.7921937,789.8504,3994.8611,7695.2456,5599.9575,5622.1001,15672.8,20864.301,21474.9,1.0427322,13.655914,13.507332,13.426197,14.010753
Liberia,LBR,.20537342,.14707325,.18153432,.23183893,,301.87646,497.02036,597.52966,453.82001,425.81,729.76001,1179.5,1.2114959,88.509552,85.367943,82.226326,79.084717
Libya,LBY,6.7509122,8.6763763,9.174324,6.6828055,6821.874,7424.3535,11611.358,7034.6582,28603.5,44724.898,59559.602,44467,.21974507,.12332769,.12332769,.12332769,.12332769
St. Lucia,LCA,1.3548745,2.2996864,2.9701347,2.7851393,4073.2646,5846.9756,8672.2158,8951.5244,192.8,366.79999,507.70001,499.20001,.93100232,34.868851,34.442623,34.049179,34.049179
Liechtenstein,LIE,6.9171166,6.5663414,5.3117642,3.6638479,49418.016,75210.133,141466.83,165287.19,198.97086,216.86,190.83044,141.99609,42.632275,40.625,41.875,41.869999,41.875
Sri Lanka,LKA,.22315618,.58205605,.63244861,.99668324,466.89764,869.75348,2836.9741,3852.3892,3839.2,10928.9,13071.8,21846.301,3.3786423,37.479351,34.546642,33.545208,34.1581
Lesotho,LSO,.77571005,.87434894,1.0672615,1.0256422,331.52377,443.94995,1104.8115,917.35638,1395.5,1747.5,2158.8,2311.8999,.50315934,1.1370224,1.1370224,1.1370224,1.1370224
Lithuania,LTU,8.7126312,3.0049412,4.0690517,4.1840005,,3293.23,11987.509,20381.855,32217.9,10515.9,12603,11693.8,17.784489,,32.227184,34.623055,35.148514
Luxembourg,LUX,29.55349,19.611965,21.755665,12.456953,33465.477,48659.598,110885.99,116905.37,11285,8556.7002,11029.1,7853.1001,51.210423,,33.676964,34.453827,34.453827
Latvia,LVA,7.0508208,2.9268949,4.060966,3.6456122,,3361.6409,11420.994,18096.203,18777.4,6929.5698,8518.0996,6928.2998,17.5263,,52.0835,54.190624,54.809418
"Macao SAR, China",MAC,,,,,9269.6484,15684.779,50676.387,37474.734,,,,,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,92.007965,,,,24.799999
Morocco,MAR,.87493235,1.1513631,1.5940156,1.8185264,1219.4244,1492.3771,3067.8518,3258.269,21497.801,32876.5,51749.5,66719.5,2.8220875,12.290589,12.338203,12.714699,12.866883
Monaco,MCO,,,,,81813.023,81763.828,161780.75,182537.39,,,,,99.382904,0,0,0,0
Moldova,MDA,10.294108,2.2941408,2.8979993,3.2678463,,440.5387,2436.7993,4376.2427,30532.1,6709.6001,8295.0996,8611.2002,4.1505346,,10.474453,11.400305,11.753222
Madagascar,MDG,.074993506,.10199655,.086042769,.097269543,330.84354,285.46646,459.3754,462.40424,891.13,1654.02,1869.8,2745.45,3.0845716,23.546875,22.407177,21.601231,21.364403
Maldives,MDV,.69657755,1.6360656,2.663348,2.8263853,955.93365,2209.9883,7158.0615,7216.8164,156.7,462.20001,963,1454,.068331584,2.7333333,2.7333333,2.7333333,2.7333333
Mexico,MEX,3.2987516,3.874146,4.1132107,3.0407665,3196.9202,7581.8457,9823.1641,8894.8906,269575.41,379176,462869.5,383131.41,18.909849,36.313511,35.176495,34.436745,33.793091
Marshall Islands,MHL,0,1.8958395,2.6359143,2.5338032,1704.2587,2127.2407,3001.3198,5545.6001,0,102.8,140.8,110,.27044109,,52.222221,52.222221,52.222221
North Macedonia,MKD,4.2028222,4.2056408,4.0533257,3.2794201,2299.0444,1861.899,4577.6895,5965.4502,8591.2998,8522.0996,8329.5996,6796.7002,8.9573622,,37.654346,38.082077,39.710152
Mali,MLI,.048743401,.097320952,.13870661,.19556597,299.82162,263.49838,688.32788,822.90613,436.01099,1093.8,2154,4150.7002,7.5270495,10.896664,10.896664,10.896664,10.896664
Malta,MLT,6.5352798,5.4582696,6.240169,3.1255579,7191.9238,10432.328,21798.914,29597.637,2314.6001,2129.2,2586.6001,1610.7,7.5794621,1.09375,1.09375,1.09375,1.4375
Myanmar,MMR,.10182159,.20730887,.16463125,.63408035,52.748554,195.55099,1003.0334,1479.6136,4083,9440.5,8131.2998,33874.602,3.9373944,60.009304,53.35268,48.129383,43.734032
Montenegro,MNE,3.1586885,2.5139985,4.1719136,4.0675611,,1627.0651,6688.4028,7677.3711,1915.3402,1520.8434,2584.2,2527.2,8.9824467,,,61.486988,61.486988
Mongolia,MNG,5.9997697,3.6706433,5.295465,6.4306455,1184.7629,463.85388,2660.2881,4041.1741,12968.1,8996.6699,14311.1,21184.699,19.798361,9.2746801,9.2177477,9.1080523,9.099658
Northern Mariana Islands,MNP,,,,,,,14772.496,17302.922,,,,,31.951677,,69.478264,65.91304,52.95652
Mozambique,MOZ,.083980411,.08030501,.11617544,.22276755,,333.77515,494.58401,456.58194,1117.23,1426.9,2680.6001,6945.5,17.984385,55.161625,52.376713,49.558914,46.725197
Mauritania,MRT,.41963542,.41510159,.6064406,.85517639,751.19348,660.30383,1646.1304,1836.2924,841.79999,1118.7,2073.7,3847.1001,1.0807031,.46186087,.40908122,.35630155,.30348307
Mauritius,MUS,1.0994781,2.0489976,2.9285028,2.938514,2506.1848,3929.0818,8000.3765,9011.043,1164.1,2431.8999,3661.8,3720.2,.011473417,20.231527,20.655172,18.911329,19.414122
Malawi,MWI,.075733267,.07794103,.066886246,.084636159,286.91656,225.95245,688.13922,622.18457,722.46997,875.22998,984.46002,1640,22.876047,37.141495,32.68668,28.231863,23.777046
Malaysia,MYS,3.1178188,5.419703,6.9597073,7.3837156,2513.2415,4087.5625,8880.1455,10164.345,54615,124355.9,199867,245139.3,7.5480733,62.75605,59.934105,57.670521,58.17696
Namibia,NAM,,1.0677017,1.4783703,1.5880451,2037.9105,2156.0903,5445.4199,4252.0415,,1942.3,3103.5,3952.8,23.247177,10.651375,9.7888765,8.9263687,8.0638657
New Caledonia,NCL,,,,,14800.791,16039.169,37494.895,34877.637,,,,,95.756561,45.466629,45.834244,45.898251,45.843544
Niger,NER,.067549609,.05680513,.081757233,.090325579,419.60388,192.87773,471.6127,564.84167,565.43402,660.22699,1361.057,2197.95,18.19902,1.5354859,1.0484724,.95042235,.85237229
Nigeria,NGA,.76426369,.79131895,.55951291,.53751016,567.51788,563.04706,2280.1113,2074.6138,72768.797,97215.102,90055.203,111978.1,11.610698,29.124905,27.331861,25.538807,23.745787
Nicaragua,NIC,.45742249,.73547465,.77073175,.6782521,238.76501,996.89783,1495.7338,1876.6074,1933.9,3768,4513.2002,4582.2002,9.962163,53.176998,44.86721,34.802643,28.315855
Netherlands,NLD,10.13414,10.178429,10.298311,7.4715533,21290.861,26214.498,50999.746,52162.57,151520.7,162096.7,171110.5,130315.1,25.310934,10.22897,10.648697,11.072636,10.974161
Norway,NOR,6.9092507,7.63379,8.205018,6.72508,28242.98,38178.238,88163.211,68340.016,29305.4,34283.102,40116.398,36177.398,5.7102518,33.216152,33.164131,33.134014,33.43536
Nepal,NPL,.047857597,.13115087,.17086275,.50936627,184.92365,223.7119,589.16541,1139.1899,938.79999,3221,4640.8999,14949.2,23.626041,39.664337,40.326195,41.590721,41.590721
Nauru,NRU,13.158992,8.4802933,4.1695147,3.3617539,,,4644.3555,10124.7,126.3,88,42.700001,41.400002,,0,0,0,0
New Zealand,NZL,6.7003121,7.6353784,7.1366215,6.160799,13663.021,13641.103,33676.773,41760.594,22310.699,29455,31049.301,31359.699,30.604765,35.594051,37.410049,37.401237,37.570126
Oman,OMN,6.6052322,10.713434,16.335081,15.636201,6475.417,8321.3936,22552.199,16707.623,11919.3,25115,47076.301,71041.5,1.0183115,.0096930536,.0096930536,.0096930536,.0080775442
Pakistan,PAK,.51142812,.63726211,.72190976,.81036019,346.66852,644.45715,1011.5972,1322.3148,59026,98374.102,140378.59,184111.2,9.7949553,6.4689574,5.8520913,5.3104634,4.8333073
Panama,PAN,1.0991572,1.7598846,2.5363057,2.2314429,2626.1433,4099.0063,8124.5581,13293.333,2692.8999,5282.7002,9190.5996,9582.7002,15.337927,61.977402,59.754372,58.218861,56.805607
Peru,PER,.94419497,1.0742751,1.5394855,1.398566,1194.5483,1941.3182,5047.2046,6063.627,20875.301,28634.199,44998.5,46578.898,13.336229,59.725422,58.826431,57.851406,56.508102
Philippines,PHL,.66389912,.92283785,.86560285,1.1896795,820.48718,1073.2644,2201.7769,3224.4229,40868.898,71942.797,81917.797,133471.3,3.1492243,26.088507,24.513733,22.938995,24.109032
Palau,PLW,0,10.721889,11.58576,8.8025818,,7416.481,10029.288,14349.316,0,211.5,214.8,158.2,99.957458,,86.04348,88.173912,90.021736
Papua New Guinea,PNG,.56109077,.51289898,.66488475,.56325155,833.05365,639.27917,1879.2406,2446.0847,2168.6001,2825.2,5042,5491.5,.71626407,80.377335,80.108566,79.889778,79.176254
Poland,POL,9.1893835,7.7309198,8.2470045,7.3675632,1731.2095,4501.48,12504.25,15816.82,350214.59,295774.41,313739.09,279223.81,37.966301,28.998661,29.576546,30.459057,30.977036
Puerto Rico,PRI,,,,,8652.5078,16192.127,26435.748,31427.43,,,,,2.0754764,36.113869,48.382187,55.405861,55.956032
"Korea, Dem. People's Rep.",PRK,5.7360692,3.0736816,2.0938544,2.0271487,,,,,119307.5,71822.898,51689.801,52437.199,1.2602221,57.404118,53.60593,51.842789,50.079643
Portugal,PRT,4.1137638,5.9924016,4.8176317,3.7849076,7884.6182,11526.372,22520.643,22242.406,41068.602,61661.199,50937.301,38973.5,17.127472,37.147541,35.857922,35.506058,36.154995
Paraguay,PRY,.51049531,.68782681,.87426561,1.1445912,1431.8392,1728.3407,4725.7266,5353.3481,2072.2,3524.3,5043.2998,7575.7002,14.31472,64.298668,57.869747,49.258018,40.529221
West Bank and Gaza,PSE,,,,,,1476.1719,2557.0757,3233.5686,,,,,8.359252,1.5083057,1.5083057,1.6528239,1.6843854
French Polynesia,PYF,,,,,15728.719,14346.187,21447.857,19185.697,,,,,.0058503971,39.46175,42.797466,43.059635,43.059635
Qatar,QAT,28.399614,44.37925,35.548267,31.726843,16664.832,27494.771,73021.313,52315.66,12543.4,28666.199,60912.102,87578.297,5.8445649,0,0,0,0
Romania,ROU,7.440515,3.965745,3.8327849,3.5641375,1648.4852,1659.9291,8397.8096,13047.457,172633.59,89003.102,77601.898,68664,24.362263,27.778505,27.713203,28.319931,30.115829
Russian Federation,RUS,14.62149,10.667661,11.325401,11.232288,3494.063,1771.5941,10674.99,10194.441,2163533,1563845.6,1617827.5,1618271,7.6162486,,49.401852,49.77359,49.784336
Rwanda,RWA,.073273607,.081445239,.068258598,.10512414,348.38782,255.11197,594.16028,773.77325,536.35999,660.52002,703.67999,1382,9.1052475,12.849615,11.633563,10.741792,11.187677
South Asia,SAS,.56188989,.76264381,1.1313111,1.3377914,356.59787,460.3494,1253.9464,1853.8459,641292.06,1072998.3,1878594.3,2518434.8,5.4402108,17.279749,17.974373,18.331429,18.821054
Saudi Arabia,SAU,10.709518,11.586313,15.168386,14.266585,7349.7036,8795.2607,17958.947,20398.061,171403.3,249654.8,446131.5,513555.81,4.5283718,.45448413,.45448413,.45448413,.45448413
Sudan,SDN,.254408,.21638805,.48688301,.46795392,1301.8191,378.1575,1356.8947,608.33252,5365.6899,5690.7402,16427.4,20796.1,2.7532744,12.932369,12.198299,11.463877,9.8284531
Senegal,SEN,.30869156,.41875309,.56074476,.64980054,980.75458,619.64215,1286.605,1492.476,2326.3,4063.7,7026.2002,10680.2,14.577056,48.320572,45.983276,43.983585,41.905987
Singapore,SGP,9.5073004,10.456475,8.3545084,7.6866837,11861.756,23852.84,47236.684,61273.992,28970,42117.5,42413.602,43705,2.4636302,22.129702,25.393284,25.271225,21.685236
Solomon Islands,SLB,.47166464,.54746985,.63435197,.32306555,662.85284,976.42828,1661.9979,2222.4622,152.89999,235.39999,342.79999,223.3,.14703377,90.922112,90.66095,90.399429,90.13826
Sierra Leone,SLE,.073519416,.072708361,.087032199,.12727761,150.19325,138.71394,400.54074,493.43225,318,333.29999,560.20001,1048,3.2969558,43.318092,40.585064,37.852036,35.11887
El Salvador,SLV,.44405079,.94514006,1.0695393,1.0132803,897.59296,1977.8406,3017.3074,3961.7266,2383.3,5631.6001,6539.2002,6376.2998,2.129312,34.694981,32.523167,30.351351,28.179537
San Marino,SMR,,,,,,37473.785,59516.324,45321.488,,,,,,16.666666,16.666666,16.666666,16.666666
Somalia,SOM,.10503071,.055793379,.052483447,.039934654,131.02324,,,556.57806,735.12,486.60001,631.20001,660.40002,0,13.20257,11.97915,10.755731,9.5323114
Serbia,SRB,8.1606245,5.8519659,6.4601679,6.7145171,,914.78571,5735.4229,7733.8037,61906.5,43985.398,47103.898,46324.301,7.6445003,,,31.019896,32.377808
South Sudan,SSD,.091328539,.075202413,.13518567,.16430913,,,1503.1339,,433.88519,459.82065,1313.2502,1742.7,15.501501,,,,11.325622
Sao Tome and Principe,STP,.38639554,.37226713,.56440723,.64535016,,,1043.2814,2155.2659,46.5,53.5,102.8,141.10001,.24468805,61.0625,60.791668,60.520832,54.0625
Suriname,SUR,4.2639914,3.0906601,3.1952643,4.2850766,940.99176,1978.4467,7999.5073,4796.5332,1759.988,1480.42,1744.87,2601.3201,8.4830742,98.574554,98.338913,98.076027,97.412117
Slovak Republic,SVK,10.343435,7.0651655,6.5719509,5.3190546,2405.5352,5426.6245,16908.848,19552.092,54811.801,38072.199,35432.199,29035.801,37.587799,,39.530354,39.880852,40.056156
Slovenia,SVN,6.7706256,7.3113365,7.7015185,5.9347353,,10201.304,23532.48,25558.43,13528.8,14541.7,15777.2,12477.3,40.017384,,61.221451,61.89753,61.47226
Sweden,SWE,6.2328811,6.005055,5.1167474,3.2429891,30593.672,29624.912,52869.043,52837.902,53346.199,53277.5,47985.5,33576.102,14.695885,68.893356,69.138855,68.917908,68.699074
Eswatini,SWZ,1.2894448,1.0583253,.77205616,.9720875,1305.2455,1686.6576,4035.5344,3372.9045,1101.2,1090.6,849.20001,1147.7,4.2582645,26.810465,27.516279,28.222675,28.927906
Sint Maarten (Dutch part),SXM,,,,,,,,29223.07,,,,,8.1055346,,,,10.882353
Seychelles,SYC,2.2040946,3.6200712,4.9426312,6.0805182,5642.0728,8063.6548,10938.152,12020.021,153.2,293.70001,443.70001,598.70001,32.825436,73.260872,73.260872,73.260872,73.260872
Syrian Arab Republic,SYR,2.61005,2.7227154,2.7348864,1.2148025,1926.3846,4941.8525,11304.645,537.09021,32388.1,44401.102,61090.699,25234.6,.6628077,2.0245945,2.3510718,2.6797364,2.8431084
Turks and Caicos Islands,TCA,,,,,,,23103.943,20882.262,,,,,.38745123,11.073684,11.073684,11.073684,11.073684
Chad,TCD,.066740245,.061434992,.10004433,.094228186,298.36707,168.11766,896.87671,643.77222,388.89999,507.39999,1190,1568.4,20.971254,5.3446631,5.0452666,4.3916774,3.4251907
Togo,TGO,.25222224,.25339279,.40020663,.28606185,420.13669,297.89951,722.22937,886.69952,977.59998,1269,2630.1001,2415.1001,22.070374,25.035116,23.32164,22.777533,22.233315
Thailand,THA,1.5934879,2.6787775,3.5266819,3.7142558,1545.277,2004.1071,4996.3721,7001.7856,88005.797,168941.41,240768.3,265478.91,13.271458,37.89661,37.186089,39.290257,38.898785
Tajikistan,TJK,2.0336812,.35086414,.32104054,.97753304,485.31985,137.18192,740.27618,852.3302,11018.2,2200.97,2446.8999,9328.7998,22.278662,,2.9294083,2.9294083,3.053534
Turkmenistan,TKM,12.000796,8.4277496,11.232999,10.184086,806.39136,635.71448,4286.8804,7330.3662,44646.301,38507.5,59175.102,63655,3.2122376,,8.7821589,8.7821589,8.7821589
Timor-Leste,TLS,0,0,.22425644,.34315518,,417.73795,810.21649,1663.5596,0,0,244.10001,446.10001,5.188241,64.76799,63.826496,62.885002,61.943512
Tonga,TON,.85184395,1.0028946,1.0960766,1.1220477,1150.2813,1996.5156,3416.1106,4605.9707,84.099998,102.9,117.7,118.1,.07274428,12.430555,12.430555,12.430555,12.430555
Trinidad and Tobago,TTO,10.384692,7.6598687,15.20461,10.157119,4001.5222,6120.9429,15711.559,13705.9,13152.4,10204.5,21443,15420,2.0144122,47.185184,46.130604,45.304092,44.48148
Tunisia,TUN,1.7383721,2.1295993,2.5994802,2.4086225,1456.2245,2170.5088,4241.0117,3497.719,14671.9,21068.801,28321.5,29293,5.2086086,4.1450624,4.2987256,4.4247556,4.5232363
Turkiye,TUR,2.5623579,3.3752072,4.0717154,4.8858638,2773.2698,4278.2632,10622.702,8638.7393,139197.91,216396.5,297814,407406.19,.19065237,25.705183,26.179268,27.393787,28.871483
Tuvalu,TUV,.69701588,.81967211,.90995258,.59625983,961.09167,1564.0149,3043.1667,4674.9116,6.4000001,7.9000001,9.6000004,6.5999999,.029974066,33.333332,33.333332,33.333332,33.333332
Tanzania,TZA,.072204806,.085492842,.15317711,.23394559,167.14455,399.46277,730.78235,1104.1644,1892.2,2946.3999,6909.8999,14435.5,31.048344,64.788902,60.58931,56.389717,51.642582
Uganda,UGA,.044677973,.054020081,.1030248,.12779303,244.75407,257.82962,824.73767,846.88123,785.73499,1297.6,3332,5674.6001,16.061846,17.89435,15.829788,13.716437,11.659186
Ukraine,UKR,13.270386,6.0471325,5.8626609,3.7538161,1532.5046,658.3446,3078.4148,3751.7373,688618.88,297376.81,268924.59,165663.59,4.1737151,,16.414948,16.481392,16.724197
Uruguay,URY,1.2347401,1.6579977,1.8742779,1.899719,2983.2441,6932.478,12512.594,15650.499,3848.7,5458.5,6283.7998,6514.2998,2.4422162,4.5594788,7.8219633,9.8920126,11.604388
United States,USA,19.407335,20.469797,17.431738,13.032828,23888.6,36329.957,48650.645,63528.633,4844517.5,5775807,5392109.5,4320532.5,23.945835,33.022308,33.130173,33.749409,33.866928
Uzbekistan,UZB,5.7419648,5.0224133,4.4198141,3.3763037,651.41919,558.22681,1742.3492,1759.3075,117767.7,123804.5,126240.5,115577.8,5.7678466,,6.7928872,7.6844721,8.3732214
St. Vincent and the Grenadines,VCT,.73430705,1.3671548,2.1370804,2.1006958,2136.8396,3760.0806,6590.9897,8306.3604,82.599998,155.60001,233.60001,219.8,.46656346,70.615387,73.179489,73.179489,73.179489
"Venezuela, RB",VEN,5.1456718,5.3839102,5.7148347,2.545028,2461.0393,4795.6348,13692.915,,101630,131516.7,164101.59,72509,39.000645,58.983051,55.723598,53.857491,52.413013
British Virgin Islands,VGB,,,,,,,,,,,,,.023926457,24.733334,24.466667,24.266666,24.133333
Virgin Islands (U.S.),VIR,,,,,,,39905.129,39411.047,,,,,.62265569,70.114288,58.485714,52.657143,56.885715
Viet Nam,VNM,.28885287,.64818937,1.7322017,3.67644,96.719299,394.58313,1684.0117,3586.3472,19327.9,51207.699,151413.5,355323.09,2.9295065,28.805677,37.88369,42.733215,46.719002
Vanuatu,VUT,.44339284,.46492499,.51781809,.38917497,1119.28,1416.197,2732.5515,2917.7568,66.900002,89.300003,127.1,121.3,.090716712,36.28384,36.28384,36.28384,36.28384
Samoa,WSM,.52917606,.80757356,.98832911,.96078241,747.78082,1406.7656,3494.3953,4042.7227,89,148.60001,192.39999,206.5,.31698412,62.236748,60.533569,58.830387,58.154675
Kosovo,XKX,,,,,,,3009.5234,4310.9341,,,,,,,,,
"Yemen, Rep.",YEM,.49661607,.80684644,1.0278029,.30851462,945.32391,519.59161,1249.0631,578.51202,6642.2998,15030.5,25431.9,9960.0996,.60580146,1.0398318,1.0398318,1.0398318,1.0398318
South Africa,ZAF,6.209373,6.0765533,8.2176123,6.6875629,3160.8782,3241.6614,8059.563,5753.0664,247614.7,284463.31,425548.41,393241.59,12.439703,14.955272,14.655211,14.355151,14.055091
Zambia,ZMB,.35657781,.18270904,.19263946,.40190271,427.40646,364.02615,1469.3615,956.83173,2740.8,1807.2,2656.8999,7607.1001,41.259399,63.778099,63.29652,62.814941,60.283337
Zimbabwe,ZWE,1.6349293,1.1473825,.74129045,.53048354,868.49017,565.28436,937.84033,1372.6967,16535.5,13578.9,9518,8312.5,27.214746,48.666615,47.475716,46.284813,45.093914
